ff_display_flame,"Flame",,,,,,,,,,,,,,,,,,,,,,
ff_display_blank,"Minimalist",,,,,,,,,,,,,,,,,,,,,,
ff_display_gurbert,"Gurbert",,,,,,,,,,,,,,,,,,,,,,
ff_display_triangle,"Gate",,,,,,,,,,,,,,,,,,,,,,
ff_display_ukko,"Ukko",,,,,,,,,,,,,,,,,,,,,,
ff_display_special,"Gilded (animated)",,,,,,,,,,,,,,,,,,,,,,
ff_display_copi,"Copi",,,,,,,,,,,,,,,,,,,,,,
ff_display_flame_animated,"Flame (animated)",,,,,,,,,,,,,,,,,,,,,,
ff_display_nuke,"Nuke",,,,,,,,,,,,,,,,,,,,,,
ff_display_spooky,"Spooky",,,,,,,,,,,,,,,,,,,,,,
ff_setting_on,"ON!",,,,,,,,,,,,,,,,,,,,,,
ff_setting_off,"Off",,,,,,,,,,,,,,,,,,,,,,
